Day in period,Date,Dedicated interface Uptime (%), Dedicated interface Downtime (%),Payment services user interface Response (millisecs),Dedicated interface AISP response (millisecs),Dedicated interface PISP response (millisecs),Dedicated interface CBPII/PISP Yes/No response (millisecs),Dedicated interface Error response rate (%)
25,25 July 2025,100.00,0.00,488,0,0,0,0
26,26 July 2025,100.00,0.00,307,0,0,0,0
27,27 July 2025,100.00,0.00,334,0,0,0,0
28,28 July 2025,100.00,0.00,511,0,0,0,0
29,29 July 2025,100.00,0.00,540,0,0,0,0
30,30 July 2025,100.00,0.00,504,0,0,0,0
31,31 July 2025,100.00,0.00,497,0,0,0,0
32,01 August 2025,100.00,0.00,518,0,0,0,0
33,02 August 2025,100.00,0.00,290,0,0,0,0
34,03 August 2025,100.00,0.00,284,0,0,0,0
35,04 August 2025,100.00,0.00,574,0,0,0,0
36,05 August 2025,100.00,0.00,520,0,0,0,0
37,06 August 2025,100.00,0.00,511,0,0,0,0
38,07 August 2025,100.00,0.00,514,0,0,0,0
39,08 August 2025,100.00,0.00,533,0,0,0,0
40,09 August 2025,100.00,0.00,342,0,0,0,0
41,10 August 2025,100.00,0.00,360,0,0,0,0
42,11 August 2025,100.00,0.00,543,0,0,0,0
43,12 August 2025,100.00,0.00,540,0,0,0,0
44,13 August 2025,100.00,0.00,566,0,0,0,0
45,14 August 2025,100.00,0.00,565,0,0,0,0
46,15 August 2025,100.00,0.00,530,0,0,0,0
47,16 August 2025,100.00,0.00,298,0,0,0,0
48,17 August 2025,100.00,0.00,301,0,0,0,0
49,18 August 2025,100.00,0.00,559,0,0,0,0
50,19 August 2025,100.00,0.00,537,0,0,0,0
51,20 August 2025,100.00,0.00,575,0,0,0,0
52,21 August 2025,100.00,0.00,647,0,0,0,0
53,22 August 2025,100.00,0.00,675,0,0,0,0
54,23 August 2025,100.00,0.00,333,0,0,0,0
55,24 August 2025,100.00,0.00,355,0,0,0,0
56,25 August 2025,100.00,0.00,741,0,0,0,0
57,26 August 2025,100.00,0.00,638,0,0,0,0
58,27 August 2025,100.00,0.00,562,0,0,0,0
59,28 August 2025,100.00,0.00,636,0,0,0,0
60,29 August 2025,100.00,0.00,644,0,0,0,0
61,30 August 2025,100.00,0.00,395,0,0,0,0
62,31 August 2025,100.00,0.00,349,0,0,0,0
63,01 September 2025,100.00,0.00,585,0,0,0,0
64,02 September 2025,100.00,0.00,642,0,0,0,0
65,03 September 2025,100.00,0.00,592,0,0,0,0
66,04 September 2025,100.00,0.00,596,0,0,0,0
67,05 September 2025,100.00,0.00,604,0,0,0,0
68,06 September 2025,100.00,0.00,392,0,0,0,0
69,07 September 2025,100.00,0.00,286,0,0,0,0
70,08 September 2025,100.00,0.00,629,0,0,0,0
71,09 September 2025,100.00,0.00,756,0,0,0,0
72,10 September 2025,100.00,0.00,612,0,0,0,0
73,11 September 2025,100.00,0.00,595,0,0,0,0
74,12 September 2025,100.00,0.00,625,0,0,0,0
75,13 September 2025,100.00,0.00,513,0,0,0,0
76,14 September 2025,100.00,0.00,284,0,0,0,0
77,15 September 2025,100.00,0.00,616,0,0,0,0
78,16 September 2025,100.00,0.00,629,0,0,0,0
79,17 September 2025,100.00,0.00,573,0,0,0,0
80,18 September 2025,100.00,0.00,583,0,0,0,0
81,19 September 2025,100.00,0.00,596,0,0,0,0
82,20 September 2025,100.00,0.00,448,0,0,0,0
83,21 September 2025,100.00,0.00,315,0,0,0,0
84,22 September 2025,100.00,0.00,578,0,0,0,0
85,23 September 2025,100.00,0.00,597,0,0,0,0
86,24 September 2025,100.00,0.00,660,0,0,0,0
87,25 September 2025,100.00,0.00,584,0,0,0,0
88,26 September 2025,100.00,0.00,618,0,0,0,0
89,27 September 2025,100.00,0.00,349,0,0,0,0
90,28 September 2025,100.00,0.00,426,0,0,0,0
91,29 September 2025,100.00,0.00,585,0,0,0,0
92,30 September 2025,100.00,0.00,622,0,0,0,0